10° Memorial Raffaele Punzi
 Cross Table at round 7 sorted by score

Pos NAME                 Rtg   T  Fed  Pts |   1     2     3     4     5     6     7    |  BucT     S-B    APRO  
 45 Santucci Antonio     1655     ITA  3.0 | -W10  +B50  -W19  -B48  +W49  +B59  -W27   |   23.5    7.50  1623.0 
 46 Gravina Pasquale     1574     ITA  3.0 | -W13  +B49  -W11  +B65  -W27  -W28  +B61   |   23.5    6.00  1652.1 
 47 Marino Francesco     1610     ITA  3.0 | -W3   +B67  -W24  =B53  -W33  =W36  +B60   |   21.5    5.50  1601.9 
 48 Mazzeo Francesco     1441     ITA  3.0 | -B8   -W61  +BYE  +W45  -B40  -W44  +W59   |   20.5    7.00  1662.8 
 49 Zurlo Massimiliano   1440     ITA  3.0 | -B43  -W46  +BYE  -W34  -B45  +W66  +B58   |   17.5    5.00  1573.3 
 50 Ricciardelli Davide  1440     ITA  3.0 | -B54  -W45  -B56  +W63  -B28  +W67  +W62   |   17.0    5.00  1393.1 
 51 Maresca Carmine      1421     ITA  2.5 | -W21  +B12  -W38  =B52  -W39  +B65  -W37   |   23.5    7.75  1654.6 
 52 Maresca Ermanno Mari 1483     ITA  2.5 | -B6   +W65  -B43  =W51  +B57  -W20  -B36   |   23.5    5.25  1638.7 
 53 Macrini Giovanni     1440     ITA  2.5 | -B24  -B42  +W64  =W47  -B20  +W57  -B34   |   23.0    6.00  1640.4 
 54 Auletta Pasquale     1793     ITA  2.5 | +W50  -B10  -W44  -B41  +B67  =W34  -B31   |   22.0    5.25  1623.1 
 55 Falanga Andrea       1341     ITA  2.5 | =B15  -W36  -B35  -W20  +W68  -B56  +W65   |   20.5    4.00  1473.7 
 56 Di Francesco Mario   1442     ITA  2.5 | -W25  -B57  +W50  -B42  =W65  +W55  -B39   |   20.0    6.25  1528.4 
 57 Sorgente Christian   1258     ITA  2.5 | -B32  +W56  =B37  -W35  -W52  -B53  +B66   |   19.0    5.25  1555.3 
 58 Santoro Antonio      1775     ITA  2.0 | +B70  -W4   +B62  -W7   -B26  -W31  -W49   |   26.5    5.00  1799.2 
 59 D'amore Luca         1356  NC ITA  2.0 | -W30  +B31  -W29  -B12  +W66  -W45  -B48   |   23.5    5.00  1592.0 
 60 Minniti Davide       1440     ITA  2.0 | -W22  -B40  -W12  +B64  +W61  -B30  -W47   |   23.5    4.00  1626.1 
 61 Maresca Antonia Mari 1040     ITA  2.0 | -W39  +B48  -W30  -B62  -B60  +W63  -W46   |   19.5    4.50  1464.7 
 62 Donadio Giacinto     1477     ITA  2.0 |  --   +B64  -W58  +W61  -B38  -W43  -B50   |   19.5    4.00  1518.3 
 63 Ricciardelli Marco   1440     ITA  2.0 | -W11  -B44  -W31  -B50  +W64  -B61  +B68   |   19.5    2.50  1473.4 
 64 Baldan Sergio        1399     ITA  2.0 | -B38  -W62  -B53  -W60  -B63  +W68  +B67   |   13.5    1.00  1263.4 
 65 Paduano Vincenzo     1407     ITA  1.5 | -W27  -B52  +B68  -W46  =B56  -W51  -B55   |   17.5    1.75  1420.7 
 66 Casola Dario         1440     ITA  1.0 | -W17  -B7   +W67  -W40  -B59  -B49  -W57   |   21.0    0.50  1549.6 
 67 Ricciardelli Vincenz 1440     ITA  1.0 | -B28  -W47  -B66  +BYE  -W54  -B50  -W64   |   17.0    1.50  1483.7 
 68 Ferraiuolo Emanuele  1440     ITA  0.0 | -W18  -B29  -W65  -BYE  -B55  -B64  -W63   |   19.0    0.00  1451.3 
 69 Cucciniello Nicol(W) 1440     ITA  0.0 | -B16  -B19  -BYE   --    --    --    --    |   19.0    0.00     0.0 
 70 Russo Raffaele   (W) 1440     ITA  0.0 | -W58  -B26  -BYE   --    --    --    --    |   16.0    0.00     0.0 

Generated by Vega - www.vegachess.com
(This copy cannot be used for tournament with more than 30 players)
